id,name,type,rti_status,portfolio_minister,rti_page_url,disclosure_log_url,disclosure_log_format,disclosure_log_url_evidence,verification_status,notes,search_status
kingborough_c,Kingborough Council,council,full,Minister for Local Government (memory),https://www.kingborough.tas.gov.au/council/right-to-information/,,unknown,,network_blocked_search_only,"Kingston. Release of Documents Policy 3.22 (Jan 2022) is indexed. An ABC article (28 Nov 2024) reported emails about the Kingston bus interchange; whether they were released under RTI was not confirmed. ABS LGA code (memory, unverified): 63610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
land_tasmania,"Land Tasmania (Recorder of Titles, Surveyor-General)",business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
latrobe_c,Latrobe Council,council,full,Minister for Local Government (memory),https://www.latrobe.tas.gov.au/council/publications/rof,,unknown,,network_blocked_search_only,"Its RTI information sheet PDF still reflects the 2023 fee of $44.50. ABS LGA code (memory, unverified): 64010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
launceston_cc,City of Launceston,council,full,Minister for Local Government (memory),https://www.launceston.tas.gov.au/Council-Region/Access-to-Information,,unknown,,network_blocked_search_only,"The Disclosure of Information Policy PDF is indexed. It is a policy, not a disclosure log. ABS LGA code (memory, unverified): 64210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
launceston_flood_authority,Launceston Flood Authority,council_entity,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED.,not_searched
law_society_tas,Law Society of Tasmania,other,partial,,,,unknown,,auditor_memory_unverified,Partial coverage per s 6.,not_searched
legal_aid,Legal Aid Commission of Tasmania,statutory,full,Attorney-General (Guy Barnett),https://www.legalaid.tas.gov.au/right-to-information/,,unknown,,network_blocked_search_only,Legal Aid Commission Act 1990 (memory).,not_searched
legal_profession_board,Legal Profession Board of Tasmania,statutory,full,,,,unknown,,network_blocked_search_only,Legal Profession Act 2007 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
legislative_council,Legislative Council,other,excluded,,,,unknown,,network_blocked_search_only,UNCERTAIN - verify s 6 text.,searched_none_found
legislature_general,Legislature-General / Tasmanian Parliamentary joint services,other,UNCERTAIN,,,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
lgat,Local Government Association of Tasmania,other,full,"Minister for Local Government (memory; LGAT is a member association, not in a portfolio. UNCERTAIN)",https://www.lgat.tas.gov.au/about-us/right-to-information,,unknown,,network_blocked_search_only,"The brief expected LGAT to be UNCERTAIN, but its own page says the RTI Act applies to it, so it is recorded as full. The statutory limb is still unverified. The snippet says LGAT discloses only information about its own operations.",searched_none_found
libraries_tas,Libraries Tasmania (incl. Tasmanian Archives),business_unit,via_parent,Education (Jo Palmer),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Snippet Q31: DECYP covers libraries and the Tasmanian archives. Separate RTI handling not seen.]",not_searched
local_gov_division,Local Government Division / Office of Local Government,business_unit,via_parent,Local Government (Kerry Vincent),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: in DPAC. Whether moved to Building Tasmania in 2026 MoG UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
local_government_board,Local Government Board,statutory,full,Local Government (Kerry Vincent),,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
magistrates_court,Magistrates Court of Tasmania,other,partial,,,,unknown,,network_blocked_search_only,,not_searched
maib,Motor Accidents Insurance Board,gbe,full,UNCERTAIN,,,unknown,"searched, none found",network_blocked_search_only,"Portfolio minister UNCERTAIN (memory suggests Treasurer/Minister for Finance or Infrastructure and Transport - not seen). Under privatisation assessment (May 2025, search summary).",not_searched
marine_farming_planning_review_panel,Marine Farming Planning Review Panel,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5; relevant to salmon campaigns. UNVERIFIED.,not_searched
marinus_link,Marinus Link,other,UNCERTAIN,Minister for Energy and Renewables,,,unknown,not searched,network_blocked_search_only,Whole record is memory. Portfolio link to Tas Energy Minister is memory. Website is memory. High-priority item for a future verification run.,not_searched
mast,Marine and Safety Tasmania,statutory,full,Infrastructure and Transport (Kerry Vincent),,,unknown,,network_blocked_search_only,Marine and Safety Authority Act 1997 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
meander_valley_c,Meander Valley Council,council,full,Minister for Local Government (memory),https://www.meander.tas.gov.au/right-to-information-privacy,,unknown,,network_blocked_search_only,"Westbury. rti_contact_email mail@mvc.tas.gov.au is snippet_verified (general contact address given on the RTI & Privacy page). ABS LGA code (memory, unverified): 64610. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
mental_health_tribunal,Mental Health Tribunal,statutory,partial,,,,unknown,,network_blocked_search_only,"abolished (memory: 2021-11-05), successor tascat. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
metro,Metro Tasmania,soc,full,Minister for Infrastructure and Transport,,,unknown,not searched (search budget exhausted),network_blocked_search_only,"Website URL is memory. Under privatisation assessment (May 2025, search summary).",not_searched
min_abetz,"Eric Abetz MP, Treasurer",minister,full,Treasurer; Leader of the House; Macquarie Point Urban Renewal,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"Treasurer from Aug 2025 (Wikipedia snippet says 'assumed office 19 July 2025' vs ministry sworn 2025-08-11 - UNCERTAIN). Previously Business, Industry and Resources 2024-04-11 to 2025. Gaming regulation ministerial responsibility since Aug 2025 NOT found - UNCERTAIN whether Treasurer. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_archer,Bridget Archer MP,minister,full,"Health, Mental Health and Wellbeing; Aboriginal Affairs; Ageing",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"Assumed office 2025-08-11 (snippet), succeeding Jacquie Petrusma. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_barnett,"Guy Barnett MP, Deputy Premier",minister,full,"Deputy Premier; Attorney-General; Justice, Corrections and Rehabilitation; Small Business; Trade; Consumer Affairs; Environment and Climate Change (from Jun 2026)",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"Treasurer until Aug 2025 (snippet 'Barnett out as treasurer'). AG since 2023-10-02; Justice, Corrections and Rehabilitation since 2024-04-11 (snippets). Environment and Climate Change added in 5 Jun 2026 reshuffle. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_duigan,Nick Duigan MLC,minister,full,Energy and Renewables; Parks; Sport; Heritage (from Jun 2026),,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,Retained Energy/Parks/Sport Aug 2025 ('will remain' - held before); Heritage added 5 Jun 2026. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
min_ellis,Felix Ellis MP,minister,full,"Police, Fire and Emergency Management; Business, Industry and Resources (incl. forestry); Skills and Jobs; Innovation, Science and the Digital Economy (from Jun 2026)",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"Business, Industry and Resources from 2025-08-07 (announcement) per snippet; forestry announcements 2026 under his name (Q25). Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_howlett,Jane Howlett MP (former Minister),minister,full,"(former) Tourism, Hospitality and Events; Racing; Arts and Community and Multicultural Affairs (5-16 Jun 2026)",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"inactive: resigned 2026-06-16 (snippet) over publicly funded legal fees. Held Tourism, Hospitality and Events from 2025-08-07 (snippet). Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_jaensch,Roger Jaensch MP,minister,full,"Tourism, Hospitality and Events; Racing; Community and Multicultural Affairs; the Arts",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,Sworn in 2026-06-17 after Howlett resignation (snippet). Previously Minister for Finance incl. liquor and gaming regulation from Oct 2024 (ABC 2024-10-30 snippet) until leaving cabinet Aug 2025. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
min_ogilvie,Madeleine Ogilvie MP (former Minister),minister,full,"(former) Environment; Innovation, Science and the Digital Economy; Community and Multicultural Affairs; Arts and Heritage",,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,inactive: resigned from Cabinet 2026-05-29 or 2026-05-30 (snippets disagree - UNCERTAIN) amid allegations of misleading parliament; portfolios redistributed 2026-06-05. Kept for attribution of ministerial releases. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
min_palmer,Jo Palmer MLC,minister,full,Education; Children and Youth; Disability Services; Women and the Prevention of Family and Sexual Violence,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,"Women/Prevention of Family Violence: one snippet lists it in Aug 2025 ministry, ABC snippet says she was appointed to it and sworn in 2026-06-17 - UNCERTAIN who held it Aug 2025-Jun 2026. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.",not_searched
min_pearce,Gavin Pearce MP,minister,full,Primary Industries and Water; Veterans' Affairs,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,Assumed office 2025-08-11 (snippet). Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
min_rockliff,"Jeremy Rockliff MP, Premier",minister,full,Premier,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,Premier since 2022-04-08 (memory). Holds no other portfolio in 3rd ministry (Examiner snippet Q32). Third Rockliff ministry sworn in 2025-08-11. Censured by House June 2026 (snippet). Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
min_vincent,Kerry Vincent MLC,minister,full,Infrastructure and Transport; Local Government; Housing and Planning,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,MLC for Prosser. Infrastructure and Local Government since Oct 2024; Housing and Planning from 2025-08-07 (announcement date per snippet). Oversees Building Tasmania. Ministerial RTI administered by DPAC Ministerial and Parliamentary Support (MPS). MPS disclosure-log URL seen verbatim (Q40/Q44) at an old DPAC-site path; its role as the Ministers' log is inferred from the path name. Quarterly ministerial diaries and April/October routine disclosures at https://www.dpac.tas.gov.au/rti/MPS_routine_disclosure_log (snippet_verified). Profile pages seen under https://www.premier.tas.gov.au/your-government/.,not_searched
ministers_dpac_log,Ministers (DPAC ministerial disclosure log),minister,full,,,https://www.dpac.tas.gov.au/rti/disclosure_log_-_mps,unknown,snippet_verified,network_blocked_search_only,Entries are attributed to individual Minister records by matching Minister names in the entry (audit #9). [original: Synthetic owner record for the single DPAC-hosted ministerial disclosure log. Items are attributed to individual ministers by the adapter where the entry names the Minister.],not_searched
momentum,Momentum Energy,subsidiary,UNCERTAIN,Minister for Energy and Renewables,,,unknown,"searched, none found",network_blocked_search_only,"Melbourne-based mainland energy retailer (Vic/NSW/SA/Qld per search summary). Shareholder is Hydro, not Ministers directly, so shareholder_ministers left empty (inferred). A Victorian ESC retail licence page exists (result URL). Key open question for the registry: does the RTI Act s 5 'State-owned company' limb (or GBE Act definitions it borrows) extend to subsidiaries of GBEs? Resolve from the Act text when the network is opened.",not_searched
mpdc,Macquarie Point Development Corporation,statutory,full,Macquarie Point Urban Renewal (Eric Abetz),,,unknown,,network_blocked_search_only,Macquarie Point Development Corporation Act 2012 (memory). Portfolio created Aug 2025 (snippet Q32).,not_searched
mrt,Mineral Resources Tasmania,business_unit,via_parent,"Business, Industry and Resources (Felix Ellis)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth division; 'resources functions' to DPAC (snippet), timing UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
ngsrb,Non-Government Schools Registration Board,statutory,full,,,,unknown,,network_blocked_search_only,Education Act 2016 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
northern_midlands_c,Northern Midlands Council,council,full,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"Longford. No result was titled as an RTI page. The proactive-disclosure text probably comes from the 'Council Information' page, but that is UNCERTAIN, so rti_page_url is null. ABS LGA code (memory, unverified): 64810. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
nre,Department of Natural Resources and Environment Tasmania,agency,full,"Primary Industries and Water (Gavin Pearce); Environment and Climate Change (Guy Barnett, from Jun 2026); Parks and Heritage (Nick Duigan); Racing (Roger Jaensch)",https://nre.tas.gov.au/about-the-department/governance-policies-and-legislation/right-to-information,https://nre.tas.gov.au/about-the-department/governance-policies-and-legislation/rti-disclosure-log,unknown,snippet_verified,network_blocked_search_only,Email right2info@nre.tas.gov.au snippet_verified (Q41); logs for 2015-16 and 2016-17 available on request by email. Publishes within 48 hours. Application form PDF https://nre.tas.gov.au/Documents/RTI%20Application%20Form.pdf seen. Gains climate change function from Building Tasmania 2026-08-13. Formerly DPIPWE (rename date memory/UNCERTAIN - see mog_changes).,searched_found
ntdc,Northern Tasmania Development Corporation Ltd,council_entity,UNCERTAIN,,,,unknown,,network_blocked_search_only,"Its existence, members (memory: Launceston, West Tamar, George Town, Meander Valley, Northern Midlands, Dorset, Break O'Day, Flinders) and legal form are unverified. No search could be run (budget exhausted).",not_searched
office_aboriginal_affairs,Aboriginal Affairs (DPAC),business_unit,via_parent,Aboriginal Affairs (Bridget Archer),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Office of Aboriginal Affairs moved from Communities to DPAC Dec 2022 (Find & Connect snippet lists it among Communities functions transferred; receiving agency memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts he]",not_searched
official_visitors,Official Visitors (Mental Health / Custodial),statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only,Memory: Principal Official Visitor scheme administered from Ombudsman office. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
ombudsman,Ombudsman Tasmania,statutory,partial,,https://www.ombudsman.tas.gov.au/right-to-information,,unknown,,network_blocked_search_only,Also the RTI review body (external review decisions at https://www.ombudsman.tas.gov.au/right-to-information/reasons-for-decisions; publications https://www.ombudsman.tas.gov.au/right-to-information/rti-publications). Administration-only coverage for its own information.,searched_none_found
ori,Office of Racing Integrity,business_unit,via_parent,Racing (Roger Jaensch),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: in NRE; Director of Racing statutory office. Tasracing is a State-owned company (slice b). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
osem,Office of Security and Emergency Management,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
otter,Office of the Tasmanian Economic Regulator,statutory,full,,,,unknown,,network_blocked_search_only,Economic Regulator Act 2009 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
pahsma,Port Arthur Historic Site Management Authority,gbe,full,UNCERTAIN,,,unknown,not searched (search budget exhausted),network_blocked_search_only,"Portfolio minister UNCERTAIN (memory: Minister for Environment/Parks/Heritage; historically Tourism). Manages Port Arthur, Coal Mines and Cascades Female Factory sites (memory). Website is memory. Retained in public hands per May 2025 review (search summary).",not_searched
parole_board,Parole Board of Tasmania,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only, No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
poppy_advisory_control_board,Poppy Advisory and Control Board,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED.,not_searched
private_forests_tas,Private Forests Tasmania,statutory,full,"Business, Industry and Resources (Felix Ellis) - UNCERTAIN",,,unknown,,network_blocked_search_only,Private Forests Act 1994 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
public_guardian,Office of the Public Guardian,statutory,full,,,,unknown,,network_blocked_search_only,Guardianship and Administration Act 1995 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
public_trustee,Public Trustee,gbe,full,Attorney-General,https://www.publictrustee.tas.gov.au/about-us/governance/right-to-information/,,unknown,"none seen; ABC 2026-05-20: Public Trustee 'would set them up' (snippet_verified, search summary). The dedicated search for its log could not run (search budget exhausted).",network_blocked_search_only,Portfolio minister (Attorney-General) is memory. Retained in public hands per May 2025 review (search summary). [merged from slice state_bodies: Memory: a GBE under the GBE Act 1995 - DUPLICATE CANDIDATE with slice (b); dedupe on id.],not_searched
pws,Parks and Wildlife Service,business_unit,via_parent,Parks (Nick Duigan),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
racing_appeals_board,Racing Appeals Board,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED.,not_searched
rbf_board,Retirement Benefits Fund Board,statutory,UNCERTAIN,,,,unknown,,network_blocked_search_only,Tasplan/Spirit Super are private super funds - likely not public authorities (UNCERTAIN). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
recfit,"Renewables, Climate and Future Industries Tasmania",business_unit,via_parent,Energy and Renewables (Nick Duigan),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth division. Climate change function to NRE 2026-08-13 (snippet); energy functions to DPAC economic development (timing UNCERTAIN). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unles]",not_searched
rivers_water_supply_commission,Rivers and Water Supply Commission,statutory,UNCERTAIN,,,,unknown,,auditor_memory_unverified,Added per audit #5. UNVERIFIED; may be dormant.,not_searched
rmpat,Resource Management and Planning Appeal Tribunal,statutory,partial,,,,unknown,,network_blocked_search_only,"abolished (memory: 2021-11-05), successor tascat. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.",not_searched
rtbg,Royal Tasmanian Botanical Gardens,statutory,full,,,,unknown,,network_blocked_search_only,Royal Tasmanian Botanical Gardens Act 2002 (memory); Board of Directors. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
screen_tas,Screen Tasmania,business_unit,via_parent,the Arts (Roger Jaensch) - UNCERTAIN,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: within State Growth.]",not_searched
sentencing_advisory,Sentencing Advisory Council,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original:  No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
service_tas,Service Tasmania,business_unit,via_parent,,,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: DPAC routine disclosure attachments name 'Service Tasmania activities' (snippet Q40).]",searched_none_found
ses,State Emergency Service,business_unit,via_parent,"Police, Fire and Emergency Management (Felix Ellis)",,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Division of DPFEM (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
skills_tas,Skills Tasmania,business_unit,via_parent,Skills and Jobs (Felix Ellis),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory: State Growth. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.]",not_searched
solicitor_general,Solicitor-General of Tasmania,statutory,partial,,,,unknown,,network_blocked_search_only,Crown Law/Office of the Solicitor-General sits in Justice (memory).,not_searched
sorell_c,Sorell Council,council,full,Minister for Local Government (memory),https://www.sorell.tas.gov.au/right-to-information/,,unknown,,network_blocked_search_only,"ABS LGA code (memory, unverified): 65010. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
southern_midlands_c,Southern Midlands Council,council,full,Minister for Local Government (memory),https://www.southernmidlands.tas.gov.au/right-to-information-act/,,unknown,,network_blocked_search_only,"Oatlands. ABS LGA code (memory, unverified): 65210. No disclosure log seen in any snippet; the dedicated disclosure-log queries could not be run (search budget exhausted).",not_searched
southern_tas_regional_waste_authority,Southern Tasmanian Regional Waste Authority,council_entity,UNCERTAIN,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"LOW CONFIDENCE, memory only. Included so a verifier checks it. Delete if it does not exist. active=true is not verified. No search could be run (budget exhausted).",not_searched
southern_tasmanian_councils_authority,Southern Tasmanian Councils Authority,council_entity,UNCERTAIN,Minister for Local Government (memory),,,unknown,,network_blocked_search_only,"UNCERTAIN whether it still exists. Memory suggests it was wound up around 2020-21, but this was not verified. active is set to false only on memory. No search could be run (budget exhausted).",not_searched
sport_rec_tas,Sport and Recreation Tasmania,business_unit,via_parent,Sport (Nick Duigan),,,unknown,,network_blocked_search_only,"Audit #3: a business unit / office inside a department, not a separate public authority; RTI applications go to the parent. Excluded from coverage counts; releases roll up to the parent. [original: Memory. TECT to include all sport functions (snippet Q3).]",not_searched
stadiums_tas,Stadiums Tasmania,statutory,full,Sport (Nick Duigan) - UNCERTAIN,,,unknown,,network_blocked_search_only,Stadiums Tasmania Act 2022 (memory). No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
state_fire_commission,State Fire Commission,statutory,full,"Police, Fire and Emergency Management (Felix Ellis)",,,unknown,,network_blocked_search_only,Fire Service Act 1979 body (memory). Tasmanian Fire and Emergency Services Bill consultation opened Aug 2026 (premier.tas.gov.au snippet) - may replace/restructure; UNCERTAIN. No body-specific search was run: the session-wide WebSearch budget (200) was exhausted after this agent's 51st search; all facts here are memory unless labelled.,not_searched
